Date,CO2 Captured,CO2 Stored,Energy Consumption,Water Usage,Land Area Used (hectares),Investments,Compliance Score,Alerts
Day 1,736,616,1925,3925,157,266200,90,No Alert
Day 2,728,618,1907,3915,391,267300,91,High Energy Consumption
Day 3,724,623,1891,3908,458,268620,92,No Alert
Day 4,720,626,1879,3898,219,268950,94,High Energy Consumption
Day 5,716,628,1869,3892,367,269610,92,Land Area Limit Reached
Day 6,712,630,1856,3885,182,269830,90,High Energy Consumption
Day 7,708,634,1844,3878,191,270600,93,High Energy Consumption
Day 8,704,636,1834,3868,484,270820,92,Land Area Limit Reached
Day 9,700,639,1823,3860,498,271150,100,No Alert
Day 10,696,641,1812,3850,199,271425,90,No Alert
Day 11,692,645,1802,3842,153,271700,97,No Alert
Day 12,688,647,1792,3835,496,271920,95,Low CO2 Capture
Day 13,684,649,1782,3828,221,272250,99,High Energy Consumption
Day 14,680,651,1771,3820,184,272525,90,No Alert
Day 15,678,653,1765,3815,303,272800,100,Low CO2 Capture
Day 16,675,656,1760,3810,424,273020,92,High Energy Consumption
Day 17,673,658,1754,3805,362,273350,100,Land Area Limit Reached
Day 18,670,660,1749,3800,147,273570,97,High Energy Consumption
Day 19,668,662,1743,3795,227,273900,92,High Energy Consumption
Day 20,666,664,1737,3790,231,274120,99,Land Area Limit Reached
Day 21,663,667,1732,3785,456,274450,92,Low CO2 Capture
Day 22,661,669,1726,3780,280,274670,93,No Alert
Day 23,658,671,1721,3775,434,275000,93,No Alert
Day 24,656,673,1715,3770,243,275220,92,No Alert
Day 25,654,675,1709,3765,248,275550,93,Land Area Limit Reached
Day 26,651,678,1704,3760,327,275770,94,Land Area Limit Reached
Day 27,649,680,1698,3755,379,276100,91,No Alert
Day 28,646,682,1693,3750,307,276320,92,High Energy Consumption
Day 29,644,684,1687,3745,497,276650,99,High Energy Consumption
Day 30,642,686,1681,3740,473,276870,100,No Alert
Day 31,639,689,1676,3735,441,277200,91,No Alert
Day 32,637,691,1670,3730,148,277420,94,Land Area Limit Reached
Day 33,634,693,1665,3725,405,277750,100,No Alert
Day 34,632,695,1659,3720,169,277970,96,Low CO2 Capture
Day 35,630,697,1653,3715,269,278300,98,High Energy Consumption
Day 36,627,700,1648,3710,263,278520,92,No Alert
Day 37,625,702,1642,3705,195,278850,93,No Alert
Day 38,622,704,1637,3700,297,279070,90,Land Area Limit Reached
